Positivo S545
Condor PHQ525
Xiaomi MiBOX1S
Condor PHQ520
Sharp 403SH
KRIP K55h
BUSH 7.85 TABLET
Concord Plus-7_C777
ZTE Blade V10 Vita
Maxpac Parrot_3G
Vodafone VFD1400
Positivo S550
eSTREAM 4K Pyxis-CBT
BQru BQ-7040G
Xiaomi HM 2A
Infinix X620
PCD Argentina PL504
TCL 5148A
Infinix X623
Prestigio PMT3351_3G
Infinix X624
Samsung SM-G3502
Infinix X622
Lanix ILIUM L900
Infinix X627
Infinix X626
Sharp SH-Z01
Duubee W1
Duubee W2
Klipad KL9878A_EEA
T-Mobile 5007Z
T-Mobile 5007W
Samsung SCH-I699I
Huawei Y301A1
Huawei Y301A2
Lexibook MFC149
KLIPAD_V355
Infinix X652
Infinix X653
Infinix X650
Infinix X656
Infinix X657
Infinix X655
Positivo Twist Metal 32GB
HUAWEI P6-U06-orange
DEXP BL155
Xiaomi MiBOX3S
Huawei U8655-51
LGE LG-LU8300
DEXP BL160
G-TOUCH Stella X Plus
Premier TAB-7001-16G
Xiaomi HM 1S
9mobile DM_T901
HOMTOM HT16S
Gigabyte iliumPAD
Mgt electric Super
EXO S.A. Wave i007T
Ziox Duopix F9 Pro
Samsung SM-M205FN
Samsung SCH-I435L
BilimBook mini
Njoy Deimos 7
DEXP BL150
Garmin Monterra
Azumi_IRO_A4_Q
Huawei HDN-L09
Montblanc SUMMIT LITE
LGE LG-D802TR
Bluebird VX500
Samsung GT-S5830
Kruger&Matz LIVE 7S
Acer B1-860A
Energizer EnergyE500S_US
Positivo Twist 2 Fit
Acer A1-830
ZTE D930
Datalogic MEMOR 10
ZTE Z933
Gasei S.A. SENSE704G
GOODTEL G3_EEA
HUAWEI T8600
SUGAR T10
Samsung GT-S5820
Positivo YPY_AB7DC
Necnon M002U-2T
Viumee EV5
Samsung SCH-I699
Azumi_IRO_A5_Q
Viumee EV6
Viumee EV7
LGE LM-X410(FN)
ZTE XCD 28
Denso Wave BHT-1800QWB-2-A7
Archos 35b Titanium
Blu Pure XR
Tele2_Maxi
Samsung GT-i5700
Archos Access 70 Wifi
Dell Streak 10 Pro
KRIP K65
Panasonic SV-ME1000
Lenovo AQUOS 58U1
Xiaomi Mi 9 Lite
HTC One_M8 Eye
KRIP K4m
Lenovo 602LV
Digix TAB-740_G
Prestigio PSP3452DUO
nano 4K AI Smart TV
TECNO RC6
HUAWEI G730-L075
Vizmo VIZ070TAB811PNK
KRIP K4b
Huawei ALE-UL00
Logicom L-EMENT_TAB1040_BT
Sony Ericsson S51SE
YU4711
Acer A1-850
ZTE X500_USA_General
Pixela KSTB5043
Positivo T705K
KRIP K57
HTC_D830x
Coolpad 5820
Digma CITI 7575 3G CS7193MG
Hisense LED46K280J3D
Acer A1-840
Acer A1-841
TCT ALCATEL ONE TOUCH 7042D
TCT ALCATEL ONE TOUCH 7042E
EPIKONE RS550
LGE LG-F240K
LGE LG-GW620
LGE LG-F240L
LGE LG-F240S
Samsung GT-S5838
TCT ALCATEL ONE TOUCH 7042A
Entity ENT75QF620
HTC 2PYA3
HUAWEI SCL-U31
Samsung SGH-T889V
Vonino ZUN XO
Micromax Q3502
AllView A20_Lite
ZTE Z970
ZTE Z971
TECNO RA6
TECNO RA7
ZTE Z978
TECNO RA8
myPhone_City_2
Gplus P10
PCD Argentina PL570
PCD Argentina PL571
Lanix Ilium X710
HTC E9t
Motorola XT2071-4
Bravva DM-901
TCT 7070Q
HUAWEI SCL-U23
Lenovo P2c72
Motorola XOOM 2
SUGAR T50
Micromax Q350R
Hyundai Eternity_P7
TCT 7070X
HTC E9w
Polaroid A6
TCT 7071D
GoClever QUANTUM_700S
ZTE Z965
TCT 7071A
ZTE Z968
Haier G700
TCT ALCATEL ONE TOUCH 7047X
SUGAR T20
Ulefone S8_Pro
Gear Mobile GM7
HOFFMANN X-Prime
HUAWEI Y618-T00
Logic Mobility LOGIC L50T
Condor Plume L1 Plus
Foxconn V-T100
Proline M504
ZTE Z956
ZTE Z957
ZTE Z958
ZTE Z959
TCT ALCATEL ONE TOUCH 7047A
Volt Mobile v7
PCD Argentina PL550
TCT ALCATEL ONE TOUCH 7047D
TCT ALCATEL ONE TOUCH 7047E
AT&T U202AA
Libre W101
SUGAR T35
HUAWEI_IDEOS_U8500
Quantum QT-195W-aa2
SUGAR T30
Prestigio PSP3403DUO
ZTE BLADE V8 SE
ZTE Micromax A60
LGE LGL164VL
WINTEK W405
LGE LM-X410(FG)
Smartron T5511
Hoozo MR768
Micromax P810
Kyocera E6782L
Samsung SCH-I605
Enspert Miracle
Haier HM-I557-FL
OneClick C2 pro
Motorola Moto X Play
TCT San Remo 4G
Samsung SM-J727P
HUAWEI BLL-L22
HUAWEI BLL-L23
Samsung SCH-I619
Samsung SM-J727S
Samsung SM-J727T
Samsung SM-J727U
Samsung SM-J727V
Lanix Ilium_L1000
Proscan PLT7650G
HUAWEI BLL-L21
Kobo arc 7HD
Nokia 3.1 A
Nokia 3.1 C
Innjoo Halo 5 3G
Digma Plane_7557_4G_PS7171PL
Samsung SCH-I629
ZTE Z992
Wizphone WIZ Arc 8
ZTE Z993
Haier HM-N501-FL
ZTE Z995
Sansui AiPlus4K
ZTE Z998
HTC Desire 816G dual sim
Walton Primo GM3 plus
ZTE Z999
Logic Mobility LOGIC L55S
TCT 7070I
ERGO B500 First
Samsung SCH-I639
TECNO R8S
E-Boda Eclipse_G500M
DEXP S290
ZTE Z981
ZTE Z982
Go Mobile GO1452
ZTE Z983
Hisense E MAX
Intex Cloud_Q11_4G
ZTE Z987
ZTE Z988
MG series TR10CS1
MG series TR10CS2
Figi Note_11_Pro
ZTE STARTEXT II
Hisense WM8
NYX Mobile TQ14
Anydata bq Aquaris
TCT ALCATEL ONE TOUCH 7041X
ASTCA AA 787 S
Cherry Mobile Flare_J3_Lite
Woxter X200
TCT ALCATEL ONE TOUCH 7041D
Togocel EGO plus
DEXP XL150
Spark Plus 3
TECNO R8O
Symphony Helio S60
Krono KIDS_FIVE
ZTE NX541J
Hisense HS-X1
ZTE Blade Super
TCT ALCATEL ONE TOUCH 7040X
Prestigio PMT3147_3G
Samsung SCH-I659
TECNO R6S
Huawei VIE-AL10
Majestic TAB_812_4G
TCT ALCATEL ONE TOUCH 7040K
TCT ALCATEL ONE TOUCH 7040A
Samsung SM-S205DL
TCT ALCATEL ONE TOUCH 7040D
TCT ALCATEL ONE TOUCH 7040E
iHunt Titan_P6000_PRO
Symphony ATOM
Cherry Mobile Flare_A2_Lite
T-Mobile REVVL 2
Sharp S5-SH
Multilaser ML-WI-M7_3G_PLUS
ASUS_X00DDA
Cherry Mobile Omega_HD_4
Samsung SHV-E275S
Samsung SHV-E275K
BYJUS LRNS10WNW0
EMCALI N9119M
Mobicell RIO_ZAM
Smartron T5524
Tesco hudl ht7s3
TCT 8262
Wiko W_C860
HUAWEI D2-6070
Samsung SCH-I679
HTC-PG762
Huawei Oysters SmaKit S7
Advance TR3947
VUCATIMES N10
Philips PI4010G
Diamond MC32020B
Sharp SHG01
RCA RCT6513W87
Sharp SHG02
Sharp SHG03
M-Horse Pure1
Qtouch_Q502
Touchmate TM-MID792SB
Lenovo A2010-a
Sts-tottori TAB-A03-SD
MTC 982
Samsung SM-G388F
Hisense LED50K370
Westinghouse W7TWF19
Umx U2-PLUS-TE-VR
Hyundai HT1004LI16
Prestigio PMT3104_Wi_D
Kyocera SKT01
ZTE Skate 2
Samsung SM-G389F
Itel AI PONT
Google Braswell Chrome OS Device
Cherry Mobile Flare J5s
TCT TCL J900T
Huawei PAR-LX9
Samsung SM-T900
Cherry Mobile Flare J3s
Gigabyte INHON PAPILIO G1
Samsung SM-T905
Huawei PAR-LX1
Samsung SM-G386T
Samsung SM-J720F
FFFSMARTLIFE FFFTAB7
Strong 4K Android TV
ASUS_Z017DA
Gigabyte GSmart G1315
Samsung SM-J720M
Umax 8Qa_3G
BQru BQ-7038G
LGE AK815
Samsung SM-G386F
Gigabyte GSmart G1310
Samsung SMT-E5015
Lenovo A298t
ZTE Z5157Y
Exertis SMB-H8009
Wiko W-V755-EEA
ZTE Z5157V
DEXP Ixion ES850
Hisense HS-H800T
Telefunken TEL-73GIQA
Samsung SM-G386W
Blu Vivo 5 Mini
DEXP H210
Cherry Mobile Flare J2S
Asus TF101
Samsung SM-T520CC
Etuline ETL-S4521
Ascom Myco 3 Cellular Wi-Fi EU
RCA RCT6B06P23
Kiowa A5_CRISTAL
DEXP S280
Panasonic GX655
Redmi M2004J7BC
Touchmate TM-MID792WP
Grundig GTB 1050
BQru BQ-7036L
DEXP H270
Wishtel IRA_DUO
Samsung SM-A025V
DEXP S270
Haier LE48M7000CF
Umidigi S2_PRO
Samsung SM-A025M
Hisense E270BSA
Redmi M2004J7AC
Micromax AQ4502
Micromax AQ4501
Samsung SM-A025G
Huawei KSA-TL00
Navon Supreme_Pure_Plus
RIO Mobile R7MAX
Samsung SM-A025F
Samsung SM-A025A
IkuMobile IKU K3
Orient ATV R2
ZTE Telenor Touch Mini
MITO_A10
Huawei Turkcell T10
Orient ATV R1
Sico Diamond 2
3Q OC1020A
Firehawk FP-600
Blaupunkt TX01
ZTE NX535J
Hisense LED32K610X3D
motorola razr 5G
Huawei Turkcell T20
iBall_Slide_Elan_3x32
Doogee S68Pro
iHunt S10 Tank 2020
Innopia IMTCTATV01
Greatwall W710
Partner OT-310
Sigma Mobile X-Style_S5501
Skyworth open_uhd
Energizer EnergyE500S_EU
ZTE Extreme E8
Huawei POT-LX1
BMXC M863-EEA
Huawei POT-LX3
Oppo CPH1705fw
LGE LG-X760E
MG series TR10CD2
Lenovo PB-6505M
Hyundai Ultra Charm
Huawei LON-AL00
Huawei ARE-AL10
Coolpad 5872
Coolpad 5870
TCT 9203A
Qilive Q8S5IN4GP
Ainol 7C08X
Smart Grand
Huawei ARE-AL00
ZTE Z5151V
Coolpad 5880
HTC_D828x
HUAWEI G716-L070
Samsung SM-G3818
Samsung SM-G3819
Samsung SM-G3812
Samsung SM-G3815
Scope SP1089
Lenovo PB-6505Y
Gigabyte GSmart G1362
Lenovo TB2-X30F_HFT
i-Mobile iM319
HTC_D828g
HUAWEI_U8860
Ipro S401
Coolpad SS2-01
DBM Maroc SURF1000
Coolpad 5892
Coolpad 5891
HTC_D825u
Vastking KingPad_SA8
ZTE Grand X 2
Gplus Q10
Clout X425 Shavit
HUAWEI G6-C00
Vertex Impress_Game
